Date,Year,Month,Circle,Monument,Domestic_Visitors,Foreign_Visitors
2010-01-01,2010,January,Bhopal,Buddhist Caves,1125,2
2010-01-01,2010,January,Bhopal,"The palace situated in the fort, Burhanpur",2495,14
2010-01-01,2010,January,Bhopal,Hoshang Shah's Tomb,8237,127
2010-01-01,2010,January,Bhopal,"Group of monument, Royal Palace Mandu",24058,143
2010-01-01,2010,January,Bhopal,Roopmati's Pavilion,20878,100
2010-01-01,2010,January,Bhopal,"Buddhist Monuments, Sanchi",15020,238
2010-01-01,2010,January,Bhopal,Gwalior Fort,13200,399
2010-01-01,2010,January,Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",2194,0
2010-01-01,2010,January,Bhopal,"Badal Mahal Gatwway, Chanderi",762,4
2010-01-01,2010,January,Bhopal,Caves 1 t0 20 Udaygiri Vidisha,3369,46
2010-01-01,2010,January,Bhopal,Bir Singh Palace Datia,1323,41
2010-01-01,2010,January,Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1409,1
2010-01-01,2010,January,Jabalpur,"Western Group of Temples, Khajuraho",14905,2539
2010-01-01,2010,January,Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",3118,2
2010-01-01,2010,January,Dharwad,Durga temple complex Aihole,12784,263
2010-01-01,2010,January,Dharwad,"Jaina & Vaishnava Cave, Badami",24165,438
2010-01-01,2010,January,Dharwad,Group of Monuments (WH) Pattadakal,17802,292
2010-01-01,2010,January,Dharwad,"Gol Gumbaz, Vijayapura",54621,112
2010-01-01,2010,January,Dharwad,"Ibrahim Rauza, Bijapur",9608,79
2010-01-01,2010,January,Dharwad,"Temples & Sculpture Shed, lakkumdi",880,6
2010-01-01,2010,January,Hampi,"Group of Monuments, Hampi",30884,1420
2010-01-01,2010,January,Hampi,Bellary Fort,1566,3
2010-01-01,2010,January,Banglore,Dariya Daulath Bagh,33500,726
2010-01-01,2010,January,Banglore,Keshava Temple,10144,491
2010-01-01,2010,January,Banglore,Palace of Tipu Sultan,14902,621
2010-01-01,2010,January,Banglore,Fortress and Temple Chitrudurga Fort,18907,61
2010-01-01,2010,January,Raiganj,Cooch Bihar Palace,30687,3
2010-01-01,2010,January,Raiganj,Hazarduari Palace,38708,98
2010-01-01,2010,January,Kolkata,Bishnupur Temples,8688,28
2010-01-01,2010,January,Kolkata,Metcelf-Hall,36,1
2010-01-01,2010,January,Rajkot,"Asokan Rock Edict, Jungadh",330,8
2010-01-01,2010,January,Rajkot,"Buddhish Caves, Junagadh",1227,52
2010-01-01,2010,January,Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",306,7
2010-01-01,2010,January,Vadodara,"Champaner Monuments, Pavagadh",4084,133
2010-01-01,2010,January,Vadodara,"Sun temple, Modhera",13501,242
2010-01-01,2010,January,Vadodara,"Rani Ki-Vav, Patan",18399,208
2010-01-01,2010,January,Vadodara,"Rudabai Step Well, Adalaj",19828,404
2010-01-01,2010,January,Bhubaneswar,"Sun Temple, Konark",131187,347
2010-01-01,2010,January,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,19825,158
2010-01-01,2010,January,Bhubaneswar,Rajarani Temple,1084,32
2010-01-01,2010,January,Bhubaneswar,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,2242,37
2010-01-01,2010,January,Bhubaneswar,Ruins of Buddhist Temples and Images lalitgiri,2332,20
2010-01-01,2010,January,Aurangabad,Ajanta Caves,15704,913
2010-01-01,2010,January,Aurangabad,Ellora Caves,66848,1137
2010-01-01,2010,January,Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),73973,634
2010-01-01,2010,January,Aurangabad,Daulatabad Fort,32101,356
2010-01-01,2010,January,Aurangabad,Pandulena Caves,11554,64
2010-01-01,2010,January,Aurangabad,Aurangabad Caves,9491,140
2010-01-01,2010,January,Mumbai,Elephanta Caves,38874,2144
2010-01-01,2010,January,Mumbai,Buddhist Caves Kanheri,22844,688
2010-01-01,2010,January,Mumbai,Shaniwarwada,72346,545
2010-01-01,2010,January,Mumbai,Aga  Khan Palace Building,13740,578
2010-01-01,2010,January,Mumbai,"Cave, Temple and Inscriptions, Junaar, Lenyadri",23770,7
2010-01-01,2010,January,Mumbai,"Caves, Temples and inscriptions Karla",13075,123
2010-01-01,2010,January,Mumbai,"Cave Temple & Inscriptions, Bhaja",4269,99
2010-01-01,2010,January,Mumbai,Raigad Fort,13938,5
2010-01-01,2010,January,Mumbai,"Kolaba Fort, Alibag",7271,7
2010-01-01,2010,January,Mumbai,"Old Fort, Sholapur",3802,2
2010-01-01,2010,January,Mumbai,"Janjira Fort, Murd",16434,9
2010-01-01,2010,January,Mumbai,Kondiote Caves,2484,35
2010-01-01,2010,January,Mumbai,Lohgad Fort,9765,34
2010-01-01,2010,January,Nagpur,Gawilgarh Fort,2570,0
2010-01-01,2010,January,Nagpur,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",82,3
2010-01-01,2010,January,Chandigarh,Suraj Kund,4841,3
2010-01-01,2010,January,Chandigarh,Sheikh Chilli's Tomb,2050,2
2010-01-01,2010,January,Delhi,Khan-I-Khana,111,2
2010-01-01,2010,January,Delhi,Sultanghari Tomb,30,0
2010-01-01,2010,January,Delhi,Tughluqabad,4579,54
2010-01-01,2010,January,Delhi,Red Fort,148142,6152
2010-01-01,2010,January,Delhi,Humayun Tomb,36528,11224
2010-01-01,2010,January,Delhi,Qutub Minar,119584,14907
2010-01-01,2010,January,Delhi,Hauzkhas,9402,169
2010-01-01,2010,January,Delhi,Jantar Mantar,11199,359
2010-01-01,2010,January,Delhi,Safdarjung Tomb,3820,836
2010-01-01,2010,January,Delhi,Kotla Feroz Shah,5025,45
2010-01-01,2010,January,Delhi,Purana Qila,35699,296
2010-01-01,2010,January,Guwahati,Ahom Raja's Palace,3027,11
2010-01-01,2010,January,Guwahati,"Kareghar of Ahom Kings, Sibasagar",7859,37
2010-01-01,2010,January,Guwahati,"Ranghar Pavillion, Jaisagar",4309,34
2010-01-01,2010,January,Guwahati,Bishnudol,1404,7
2010-01-01,2010,January,Guwahati,"Group of four MaidansCharaideo, Sibasagar",1512,9
2010-01-01,2010,January,Goa,Upper Fort Aguada,45546,440
2010-01-01,2010,January,Hyderabad,Charminar,77255,523
2010-01-01,2010,January,Hyderabad,Golconda,98979,1248
2010-01-01,2010,January,Hyderabad,Warangal,6074,18
2010-01-01,2010,January,Jaipur,Ancient Site Bhangarh,12810,127
2010-01-01,2010,January,Jaipur,Baori at Abhaneri,3790,4863
2010-01-01,2010,January,Jaipur,Deeg Bhawan,1510,56
2010-01-01,2010,January,Jodhpur,Chittaurgarh Fort,31140,836
2010-01-01,2010,January,Jodhpur,Kumbhalgarh Fort,29066,657
2010-01-01,2010,January,Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,15859,6
2010-01-01,2010,January,Leh,Ancient Palace Leh,3766,377
2010-01-01,2010,January,Patna,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",5621,10
2010-01-01,2010,January,Patna,"Ancient site of Vaishali, Kolhua",5395,780
2010-01-01,2010,January,Patna,Excavated Remains at Nalanda,25599,1574
2010-01-01,2010,January,Patna,Ancient Site of Vikramshila Antichak,3606,23
2010-01-01,2010,January,Patna,Sher Shah's Tomb,11066,8
2010-01-01,2010,January,Raipur,Temple of Laxman and Old sites including sculptures sirpur,3639,5
2010-01-01,2010,January,Shimla,"Ruined Fort, kangra",6206,119
2010-01-01,2010,January,Shimla,Rock-cut Temples and Sculptures,4172,97
2010-01-01,2010,January,Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",398,0
2010-01-01,2010,January,Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",632,2
2010-01-01,2010,January,Srinagar,"Group of Temples at kiramchi, District Udhampur",329,0
2010-01-01,2010,January,Amaravati,Amaravati mahastupa,550,19
2010-01-01,2010,January,Amaravati,Undavalli caves,7468,33
2010-01-01,2010,January,Amaravati,Nagarjuna Kunda,1097,1
2010-01-01,2010,January,Amaravati,Chandragiri Monument,6204,6
2010-01-01,2010,January,Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",1261,4
2010-02-01,2010,February,Agra,Taj Mahal,248626,36225
2010-02-01,2010,February,Agra,Agra Fort,84065,19969
2010-02-01,2010,February,Agra,Fatehpur Sikri,28158,11449
2010-02-01,2010,February,Agra,Akbar Tomb Sikandra,13767,1178
2010-02-01,2010,February,Agra,Mariam tomb Sikandra,1169,21
2010-02-01,2010,February,Agra,Itimad-ud-Daulah-Tomb,7438,4632
2010-02-01,2010,February,Agra,Ram Bagh,5660,23
2010-02-01,2010,February,Agra,Mehtab Bagh,9877,3447
2010-02-01,2010,February,Agra,Mausoleum,25435,672
2010-02-01,2010,February,Lucknow,Site of Sahet mahet,4461,815
2010-02-01,2010,February,Lucknow,Residency Building,7997,231
2010-02-01,2010,February,Lucknow,Piprahwa & Ganwaria,2122,171
2010-02-01,2010,February,Jhansi,"Gupta Temple & Varah Temple, Deogarh",85,2
2010-02-01,2010,February,Jhansi,Kalinjar Fort,5274,8
2010-02-01,2010,February,Jhansi,Rani Lakshmi Bai Mahal,881,2
2010-02-01,2010,February,Jhansi,Rani Jhansi Fort,23161,45
2010-02-01,2010,February,Sarnath,Lord Cornwallis Tomb,1055,4
2010-02-01,2010,February,Sarnath,"Old Fort (Shahi Fort), Jaunpur",12409,7
2010-02-01,2010,February,Sarnath,Observatory of Man Singh,5183,59
2010-02-01,2010,February,Sarnath,Excavated Remains at sarnath,29431,6100
2010-02-01,2010,February,Sarnath,Tomb of Lal Khan,358,0
2010-02-01,2010,February,Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,3641,342
2010-02-01,2010,February,Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",19010,41
2010-02-01,2010,February,Thrissur,mattancherry Palace Museum Kochi,16332,4313
2010-02-01,2010,February,Thrissur,"Fort, Palakkad, Palakkad",9032,12
2010-02-01,2010,February,Thrissur,"Fort St. Angelo, Kannur",14454,203
2010-02-01,2010,February,Chennai,Group of Monuments Mamallapuram,79649,3376
2010-02-01,2010,February,Chennai,"Gingee Fort , Gingee",5492,89
2010-02-01,2010,February,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",2633,64
2010-02-01,2010,February,Tiruchirappalli,"Fort on Rock, Dindigual",1358,5
2010-02-01,2010,February,Tiruchirappalli,"Moovarkoil, Kodumbalur",1196,2
2010-02-01,2010,February,Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",1725,10
2010-02-01,2010,February,Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,1906,29
2010-02-01,2010,February,Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",1386,37
2010-02-01,2010,February,Tiruchirappalli,"Fort Museum, Thirumayam",20007,356
2010-02-01,2010,February,Tiruchirappalli,Fort Vattakottai,8528,18
2010-02-01,2010,February,Bhopal,Buddhist Caves,1138,2
2010-02-01,2010,February,Bhopal,"The palace situated in the fort, Burhanpur",2509,14
2010-02-01,2010,February,Bhopal,Hoshang Shah's Tomb,8800,136
2010-02-01,2010,February,Bhopal,"Group of monument, Royal Palace Mandu",27271,162
2010-02-01,2010,February,Bhopal,Roopmati's Pavilion,21839,104
2010-02-01,2010,February,Bhopal,"Buddhist Monuments, Sanchi",15764,250
2010-02-01,2010,February,Bhopal,Gwalior Fort,16804,508
2010-02-01,2010,February,Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",1987,0
2010-02-01,2010,February,Bhopal,"Badal Mahal Gatwway, Chanderi",829,5
2010-02-01,2010,February,Bhopal,Caves 1 t0 20 Udaygiri Vidisha,2963,41
2010-02-01,2010,February,Bhopal,Bir Singh Palace Datia,1231,38
2010-02-01,2010,February,Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1568,1
2010-02-01,2010,February,Jabalpur,"Western Group of Temples, Khajuraho",16465,2805
2010-02-01,2010,February,Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",3582,2
2010-02-01,2010,February,Dharwad,Durga temple complex Aihole,10664,219
2010-02-01,2010,February,Dharwad,"Jaina & Vaishnava Cave, Badami",21313,387
2010-02-01,2010,February,Dharwad,Group of Monuments (WH) Pattadakal,16794,276
2010-02-01,2010,February,Dharwad,"Gol Gumbaz, Vijayapura",54654,113
2010-02-01,2010,February,Dharwad,"Ibrahim Rauza, Bijapur",10417,86
2010-02-01,2010,February,Dharwad,"Temples & Sculpture Shed, lakkumdi",846,5
2010-02-01,2010,February,Hampi,"Group of Monuments, Hampi",36735,1689
2010-02-01,2010,February,Hampi,Bellary Fort,1508,2
2010-02-01,2010,February,Banglore,Dariya Daulath Bagh,34855,755
2010-02-01,2010,February,Banglore,Keshava Temple,11985,581
2010-02-01,2010,February,Banglore,Palace of Tipu Sultan,15910,663
2010-02-01,2010,February,Banglore,Fortress and Temple Chitrudurga Fort,17311,56
2010-02-01,2010,February,Raiganj,Cooch Bihar Palace,24593,2
2010-02-01,2010,February,Raiganj,Hazarduari Palace,42430,108
2010-02-01,2010,February,Kolkata,Bishnupur Temples,7918,25
2010-02-01,2010,February,Kolkata,Metcelf-Hall,32,1
2010-02-01,2010,February,Rajkot,"Asokan Rock Edict, Jungadh",375,10
2010-02-01,2010,February,Rajkot,"Buddhish Caves, Junagadh",1190,50
2010-02-01,2010,February,Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",367,8
2010-02-01,2010,February,Vadodara,"Champaner Monuments, Pavagadh",3269,107
2010-02-01,2010,February,Vadodara,"Sun temple, Modhera",13276,238
2010-02-01,2010,February,Vadodara,"Rani Ki-Vav, Patan",18633,210
2010-02-01,2010,February,Vadodara,"Rudabai Step Well, Adalaj",22062,449
2010-02-01,2010,February,Bhubaneswar,"Sun Temple, Konark",128707,341
2010-02-01,2010,February,Bhubaneswar,Ancient Remains on both Udaigiri & Khandagiri Hills,19504,156
2010-02-01,2010,February,Bhubaneswar,Rajarani Temple,1121,33
2010-02-01,2010,February,Bhubaneswar,The Hill Containing Many Valuable Sculptures and Images Ratnagiri,2171,35
2010-02-01,2010,February,Bhubaneswar,Ruins of Buddhist Temples and Images lalitgiri,2729,23
2010-02-01,2010,February,Aurangabad,Ajanta Caves,14401,837
2010-02-01,2010,February,Aurangabad,Ellora Caves,72557,1234
2010-02-01,2010,February,Aurangabad,Tomb of Rabia Durani (Bibi ka Maqbara),62007,531
2010-02-01,2010,February,Aurangabad,Daulatabad Fort,28578,317
2010-02-01,2010,February,Aurangabad,Pandulena Caves,13899,77
2010-02-01,2010,February,Aurangabad,Aurangabad Caves,10571,156
2010-02-01,2010,February,Mumbai,Elephanta Caves,46058,2540
2010-02-01,2010,February,Mumbai,Buddhist Caves Kanheri,25056,754
2010-02-01,2010,February,Mumbai,Shaniwarwada,73670,555
2010-02-01,2010,February,Mumbai,Aga  Khan Palace Building,13206,556
2010-02-01,2010,February,Mumbai,"Cave, Temple and Inscriptions, Junaar, Lenyadri",21788,6
2010-02-01,2010,February,Mumbai,"Caves, Temples and inscriptions Karla",13155,123
2010-02-01,2010,February,Mumbai,"Cave Temple & Inscriptions, Bhaja",4378,102
2010-02-01,2010,February,Mumbai,Raigad Fort,13974,5
2010-02-01,2010,February,Mumbai,"Kolaba Fort, Alibag",6300,6
2010-02-01,2010,February,Mumbai,"Old Fort, Sholapur",3201,2
2010-02-01,2010,February,Mumbai,"Janjira Fort, Murd",15862,9
2010-02-01,2010,February,Mumbai,Kondiote Caves,2248,32
2010-02-01,2010,February,Mumbai,Lohgad Fort,10980,39
2010-02-01,2010,February,Nagpur,Gawilgarh Fort,2985,0
2010-02-01,2010,February,Nagpur,"Ancient Buddhist Remains comprising monastery stupa, rock sculptures, inscriptions ect Mansur",107,4
2010-02-01,2010,February,Chandigarh,Suraj Kund,5273,4
2010-02-01,2010,February,Chandigarh,Sheikh Chilli's Tomb,2038,2
2010-02-01,2010,February,Delhi,Khan-I-Khana,120,3
2010-02-01,2010,February,Delhi,Sultanghari Tomb,31,0
2010-02-01,2010,February,Delhi,Tughluqabad,5207,62
2010-02-01,2010,February,Delhi,Red Fort,150362,6244
2010-02-01,2010,February,Delhi,Humayun Tomb,43682,13422
2010-02-01,2010,February,Delhi,Qutub Minar,115310,14374
2010-02-01,2010,February,Delhi,Hauzkhas,8431,152
2010-02-01,2010,February,Delhi,Jantar Mantar,13476,432
2010-02-01,2010,February,Delhi,Safdarjung Tomb,4135,905
2010-02-01,2010,February,Delhi,Kotla Feroz Shah,4831,43
2010-02-01,2010,February,Delhi,Purana Qila,40415,335
2010-02-01,2010,February,Guwahati,Ahom Raja's Palace,3032,11
2010-02-01,2010,February,Guwahati,"Kareghar of Ahom Kings, Sibasagar",7617,36
2010-02-01,2010,February,Guwahati,"Ranghar Pavillion, Jaisagar",4230,33
2010-02-01,2010,February,Guwahati,Bishnudol,1111,6
2010-02-01,2010,February,Guwahati,"Group of four MaidansCharaideo, Sibasagar",1434,8
2010-02-01,2010,February,Goa,Upper Fort Aguada,57664,557
2010-02-01,2010,February,Hyderabad,Charminar,61653,417
2010-02-01,2010,February,Hyderabad,Golconda,98363,1241
2010-02-01,2010,February,Hyderabad,Warangal,6191,18
2010-02-01,2010,February,Jaipur,Ancient Site Bhangarh,12277,121
2010-02-01,2010,February,Jaipur,Baori at Abhaneri,4246,5447
2010-02-01,2010,February,Jaipur,Deeg Bhawan,1814,67
2010-02-01,2010,February,Jodhpur,Chittaurgarh Fort,32478,872
2010-02-01,2010,February,Jodhpur,Kumbhalgarh Fort,27876,630
2010-02-01,2010,February,Jodhpur,Marble Pavillion and balustrade on the Ana Sagar bund and ruins of the marble Hammam Behind the Ana sagar Bund,15821,6
2010-02-01,2010,February,Leh,Ancient Palace Leh,3714,371
2010-02-01,2010,February,Patna,"Remains of Patliputra Site of Mauryan Palace, Kumrahar",7324,13
2010-02-01,2010,February,Patna,"Ancient site of Vaishali, Kolhua",6044,874
2010-02-01,2010,February,Patna,Excavated Remains at Nalanda,26339,1619
2010-02-01,2010,February,Patna,Ancient Site of Vikramshila Antichak,3936,26
2010-02-01,2010,February,Patna,Sher Shah's Tomb,13608,10
2010-02-01,2010,February,Raipur,Temple of Laxman and Old sites including sculptures sirpur,3997,6
2010-02-01,2010,February,Shimla,"Ruined Fort, kangra",5810,111
2010-02-01,2010,February,Shimla,Rock-cut Temples and Sculptures,4797,111
2010-02-01,2010,February,Srinagar,"Palace Complex at Ramnagar, Distt. Udhampur",443,0
2010-02-01,2010,February,Srinagar,"Avantiswamin Temple, Avantipur, District Pulwama",567,1
2010-02-01,2010,February,Srinagar,"Group of Temples at kiramchi, District Udhampur",331,0
2010-02-01,2010,February,Amaravati,Amaravati mahastupa,423,15
2010-02-01,2010,February,Amaravati,Undavalli caves,6712,30
2010-02-01,2010,February,Amaravati,Nagarjuna Kunda,1020,1
2010-02-01,2010,February,Amaravati,Chandragiri Monument,6145,6
2010-02-01,2010,February,Amaravati,"Buddhist Remains on hill top at Guntupalli, W.G.District",1358,5
2010-03-01,2010,March,Agra,Taj Mahal,248762,36245
2010-03-01,2010,March,Agra,Agra Fort,100289,23823
2010-03-01,2010,March,Agra,Fatehpur Sikri,23422,9523
2010-03-01,2010,March,Agra,Akbar Tomb Sikandra,11846,1014
2010-03-01,2010,March,Agra,Mariam tomb Sikandra,1481,27
2010-03-01,2010,March,Agra,Itimad-ud-Daulah-Tomb,7633,4753
2010-03-01,2010,March,Agra,Ram Bagh,4478,18
2010-03-01,2010,March,Agra,Mehtab Bagh,10785,3764
2010-03-01,2010,March,Agra,Mausoleum,30773,813
2010-03-01,2010,March,Lucknow,Site of Sahet mahet,4094,747
2010-03-01,2010,March,Lucknow,Residency Building,7238,209
2010-03-01,2010,March,Lucknow,Piprahwa & Ganwaria,2014,162
2010-03-01,2010,March,Jhansi,"Gupta Temple & Varah Temple, Deogarh",70,1
2010-03-01,2010,March,Jhansi,Kalinjar Fort,4936,8
2010-03-01,2010,March,Jhansi,Rani Lakshmi Bai Mahal,968,3
2010-03-01,2010,March,Jhansi,Rani Jhansi Fort,22571,44
2010-03-01,2010,March,Sarnath,Lord Cornwallis Tomb,1173,5
2010-03-01,2010,March,Sarnath,"Old Fort (Shahi Fort), Jaunpur",13639,7
2010-03-01,2010,March,Sarnath,Observatory of Man Singh,5007,57
2010-03-01,2010,March,Sarnath,Excavated Remains at sarnath,27571,5714
2010-03-01,2010,March,Sarnath,Tomb of Lal Khan,445,0
2010-03-01,2010,March,Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,3081,289
2010-03-01,2010,March,Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",19722,42
2010-03-01,2010,March,Thrissur,mattancherry Palace Museum Kochi,15748,4159
2010-03-01,2010,March,Thrissur,"Fort, Palakkad, Palakkad",8983,12
2010-03-01,2010,March,Thrissur,"Fort St. Angelo, Kannur",16024,225
2010-03-01,2010,March,Chennai,Group of Monuments Mamallapuram,83243,3528
2010-03-01,2010,March,Chennai,"Gingee Fort , Gingee",6802,110
2010-03-01,2010,March,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",2552,62
2010-03-01,2010,March,Tiruchirappalli,"Fort on Rock, Dindigual",1334,5
2010-03-01,2010,March,Tiruchirappalli,"Moovarkoil, Kodumbalur",1028,2
2010-03-01,2010,March,Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",1769,10
2010-03-01,2010,March,Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,1829,28
2010-03-01,2010,March,Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",1528,41
2010-03-01,2010,March,Tiruchirappalli,"Fort Museum, Thirumayam",18539,330
2010-03-01,2010,March,Tiruchirappalli,Fort Vattakottai,8937,19
2010-03-01,2010,March,Bhopal,Buddhist Caves,1358,2
2010-03-01,2010,March,Bhopal,"The palace situated in the fort, Burhanpur",3040,17
2010-03-01,2010,March,Bhopal,Hoshang Shah's Tomb,7932,122
2010-03-01,2010,March,Bhopal,"Group of monument, Royal Palace Mandu",25319,150
2010-03-01,2010,March,Bhopal,Roopmati's Pavilion,22981,110
2010-03-01,2010,March,Bhopal,"Buddhist Monuments, Sanchi",13903,221
2010-03-01,2010,March,Bhopal,Gwalior Fort,14681,444
2010-03-01,2010,March,Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",2105,0
2010-03-01,2010,March,Bhopal,"Badal Mahal Gatwway, Chanderi",702,4
2010-03-01,2010,March,Bhopal,Caves 1 t0 20 Udaygiri Vidisha,2842,39
2010-03-01,2010,March,Bhopal,Bir Singh Palace Datia,1211,38
2010-03-01,2010,March,Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",1208,0
2010-03-01,2010,March,Jabalpur,"Western Group of Temples, Khajuraho",16267,2771
2010-03-01,2010,March,Jabalpur,"Group of Temple Parameshvar shiv and Karan Temple, Amarkantak",3654,2
2010-03-01,2010,March,Dharwad,Durga temple complex Aihole,11119,229
2010-03-01,2010,March,Dharwad,"Jaina & Vaishnava Cave, Badami",19629,356
2010-03-01,2010,March,Dharwad,Group of Monuments (WH) Pattadakal,15689,257
2010-03-01,2010,March,Dharwad,"Gol Gumbaz, Vijayapura",48447,100
2010-03-01,2010,March,Dharwad,"Ibrahim Rauza, Bijapur",8418,69
2010-03-01,2010,March,Dharwad,"Temples & Sculpture Shed, lakkumdi",765,5
2010-03-01,2010,March,Hampi,"Group of Monuments, Hampi",34161,1571
2010-03-01,2010,March,Hampi,Bellary Fort,1783,3
2010-03-01,2010,March,Banglore,Dariya Daulath Bagh,40365,875
2010-03-01,2010,March,Banglore,Keshava Temple,9245,448
2010-03-01,2010,March,Banglore,Palace of Tipu Sultan,14837,618
2010-03-01,2010,March,Banglore,Fortress and Temple Chitrudurga Fort,21066,68
2010-03-01,2010,March,Raiganj,Cooch Bihar Palace,27959,3
2010-03-01,2010,March,Raiganj,Hazarduari Palace,44772,114
2010-03-01,2010,March,Kolkata,Bishnupur Temples,9741,31
2010-03-01,2010,March,Kolkata,Metcelf-Hall,32,1
2010-03-01,2010,March,Rajkot,"Asokan Rock Edict, Jungadh",322,8
2010-03-01,2010,March,Rajkot,"Buddhish Caves, Junagadh",1173,49
2010-03-01,2010,March,Rajkot,"Baba Pyara Caves,Junagadh & Khapra Khodiya Caves, Junagadh",301,7
2010-03-01,2010,March,Vadodara,"Champaner Monuments, Pavagadh",3655,119
2010-03-01,2010,March,Vadodara,"Sun temple, Modhera",14130,253
2010-03-01,2010,March,Vadodara,"Rani Ki-Vav, Patan",20686,234
2010-03-01,2010,March,Vadodara,"Rudabai Step Well, Adalaj",22501,458
